Modulus Number,Series Length
0,Division by Zero Error
1,1
2,3
3,8
4,6
5,20
6,24
7,16
8,12
9,24
10,60
11,10
12,24
13,28
14,48
15,40
16,24
17,36
18,24
19,18
20,60
21,16
22,30
23,48
24,24
25,100
26,84
27,72
28,48
29,14
30,120
31,30
32,48
33,40
34,36
35,80
36,24
37,76
38,18
39,56
40,60
41,40
42,48
43,88
44,30
45,120
46,48
47,32
48,24
49,112
50,300
51,72
52,84
53,108
54,72
55,20
56,48
57,72
58,42
59,58
60,120
61,60
62,30
63,48
64,96
65,140
66,120
67,136
68,36
69,48
70,240
71,70
72,24
73,148
74,228
75,200
76,18
77,80
78,168
79,78
80,120
81,216
82,120
83,168
84,48
85,180
86,264
87,56
88,60
89,44
90,120
91,112
92,48
93,120
94,96
95,180
96,48
97,196
99,120
100,300
